id,name,area,type,published_at,created_at,archived,url,alternate_url,employer,from,to,currency,gross,requirement,responsibility
70450101,Программист Python,Москва,Открытая,2022-10-04T09:40:06+0300,2022-10-04T09:40:06+0300,False,https://api.hh.ru/vacancies/70450101?host=hh.ru,https://hh.ru/vacancy/70450101,РусЭкспресс,80000.0,90000.0,RUR,False,"опыт программирования на <highlighttext>Python</highlighttext> от 2000 часов ( - 1 год). - умение работать с xml, api, pandas (всему можно научиться). - ","большое количество интеллектуальных задач, периодически возникают задачи с применением машинного обучения. - оперативный контакт с руководителями."
70662765,Python developer,Уфа,Открытая,2022-10-06T08:21:07+0300,2022-10-06T08:21:07+0300,False,https://api.hh.ru/vacancies/70662765?host=hh.ru,https://hh.ru/vacancy/70662765,КОМТЕК,40000.0,120000.0,RUR,False,"Что мы хотим видеть в коллеге: Знание языка <highlighttext>Python</highlighttext> 3.x. Знание языка SQL (опыт работы с СУБД Oracle, PostgreSQL...","Специалистами компании разработаны информационные системы для автоматизации таких направлений, как: мониторинг лекарственных средств, управление лабораторной / онкологической службами, электронная мед. "
70692749,Python разработчик,Москва,Открытая,2022-10-06T14:47:08+0300,2022-10-06T14:47:08+0300,False,https://api.hh.ru/vacancies/70692749?host=hh.ru,https://hh.ru/vacancy/70692749,Ассоциация IPChain,230000.0,,RUR,False,От 3 лет опыта разработки на <highlighttext>Python</highlighttext> 3. Опыт работы с асинхронными фреймворками. Опыт работы с микросервисной архитектурой и монолитом. ,"...придется читать) на <highlighttext>Python</highlighttext> (у нас 3.8). Участие в дальнейшей поддержке и развитии продукта на <highlighttext>Python</highlighttext>. Оценка, декомпозиция задач. "
70449444,Data Analyst (Remote),Турция,Открытая,2022-10-04T09:30:34+0300,2022-10-04T09:30:34+0300,False,https://api.hh.ru/vacancies/70449444?host=hh.ru,https://hh.ru/vacancy/70449444,Novakid Inc,4500.0,,USD,False,"Глубокое понимание продуктовых и бизнес-метрик. Знание <highlighttext>Python</highlighttext>/R и соответствующих фреймворков для работы с данными (предпочтительно <highlighttext>Python</highlighttext>, бекенд на...","Участвовать в разработке, внедрении и поддержке data-driven процессов в продуктовых командах. Разрабатывать и поддерживать дашборды и системы метрик. "
69908838,"Программист Python, удаленно",Москва,Открытая,2022-10-04T17:58:07+0300,2022-10-04T17:58:07+0300,False,https://api.hh.ru/vacancies/69908838?host=hh.ru,https://hh.ru/vacancy/69908838,Кадровое агентство ЕВА,170000.0,,RUR,False,Опыт работы с медиапротоколами (MRCP/RTP/SDP/SIP). Опыт написания C-расширений для <highlighttext>Python</highlighttext>. Опыт работы с технологиями машинного обучения...,"Разработка внутренних R&D проектов компании (Natural Language Understanding, интеграция ML моделей, MRCP Asterisk Plugin и другие). Участие в разработке..."
49299311,Python-разработчик в R&D отдел,Санкт-Петербург,Открытая,2022-10-05T22:36:09+0300,2022-10-05T22:36:09+0300,False,https://api.hh.ru/vacancies/49299311?host=hh.ru,https://hh.ru/vacancy/49299311,Селфсек,100000.0,150000.0,RUR,False,"Уверенное знание <highlighttext>Python</highlighttext>3. Умение использовать ООП. Знание сетевых протоколов разного уровня (TCP, UDP, HTTP, WebSocket, etc) и способов сериализации...","Написание чистого, понятного кода. Реализация сетевых клиентов и протоколов по документации. Взаимодействие с исследователями. Покрытие тестами. Написание документации. "
70797038,Python developer (проект с нуля),Москва,Открытая,2022-10-05T11:13:13+0300,2022-10-05T11:13:13+0300,False,https://api.hh.ru/vacancies/70797038?host=hh.ru,https://hh.ru/vacancy/70797038,Константа,170000.0,,RUR,False,"Знание <highlighttext>Python</highlighttext> 3.6+. Общее понимание работы сетевых протоколов и технологий (HTTP, WebSocket). Понимание асинхронной парадигмы программирования в <highlighttext>Python</highlighttext>...","Сервис написан давно и на PHP, хотим его переписать под современный стек на <highlighttext>Python</highlighttext>. Сервис, автоматически (без участия букмекера) рассчитывающий..."
68077706,Python разработчик,Москва,Открытая,2022-10-06T12:42:53+0300,2022-10-06T12:42:53+0300,False,https://api.hh.ru/vacancies/68077706?host=hh.ru,https://hh.ru/vacancy/68077706,Домклик,,,,,"Опыт разработки на <highlighttext>Python</highlighttext> 3.Х. Понимание механики языка <highlighttext>Python</highlighttext> и сопутствующих инструментов (pytest, mypy, poetry, flake8). ","Писать нагруженные сервисы на <highlighttext>Python</highlighttext>. Разрабатывать API для мобильных, веб-приложений и внутренних сервисов на <highlighttext>Python</highlighttext>. Интегрироваться с другими сервисами..."
69982059,Программист Python,Орел,Открытая,2022-10-04T16:12:50+0300,2022-10-04T16:12:50+0300,False,https://api.hh.ru/vacancies/69982059?host=hh.ru,https://hh.ru/vacancy/69982059,Pentestit,,,,,Обязательно: коммерческий опыт разработки на <highlighttext>Python</highlighttext> от 2-х лет. Обязательно: коммерческий опыт разработки на Django от 1.5 года. ,"Поддержка и доработка и оптимизация работы существующих проектов: Django/Flask/прикладные модули. Участие в полном цикле разработки - написание кода, отладка..."
70449445,Data Analyst (Remote),Москва,Открытая,2022-10-04T09:30:34+0300,2022-10-04T09:30:34+0300,False,https://api.hh.ru/vacancies/70449445?host=hh.ru,https://hh.ru/vacancy/70449445,Novakid Inc,4500.0,,USD,False,"Глубокое понимание продуктовых и бизнес-метрик. Знание <highlighttext>Python</highlighttext>/R и соответствующих фреймворков для работы с данными (предпочтительно <highlighttext>Python</highlighttext>, бекенд на...","Участвовать в разработке, внедрении и поддержке data-driven процессов в продуктовых командах. Разрабатывать и поддерживать дашборды и системы метрик. "
