id,name,area,experience,description,key_skills,employer,alternate_url,from,to,currency
70472405,Python Developer,Петропавловка (Республика Бурятия),От 3 до 6 лет,"2people IT ― компания, предоставляющая технологические услуги и создающая инновационные сервисы в области мобильной и веб разработки. Одно из направлений нашей работы ― аутстаффинг. Мы предлагаем широкий спектр проектов и задач, где вы сможете себя попробовать и реализовать. За разработку таких проектов юридически отвечают наши компании-партнеры. Сейчас активно ищем разработчиков именно под такой формат. Наши преимущества:  Берём на себя всю организационную работу. Заботимся, чтобы проект, на который выходит наш специалист, был ему понятен и комфортен  Работа на различных проектах для внешних заказчиков. Подбираем проект под каждого специалиста в зависимости от его стека и опыта   Следим за профессиональным развитием сотрудников. Пересматриваем грейд каждые полгода работы   Оплачиваем стыковочные дни между проектами. Заранее согласовываем новый проект, если текущий подходит к концу  Полностью удалённая работа. Никаких утренних пробок по пути, сэкономь лишний час для вкусного завтрака :)  Основные требования:   Опыт с Python от 3-х лет   Apache superset;   Celery (rabbitmq), redis;   Docker, kubernetes.   Английски от уровня B1 будет плюсом   Условия:   Оформление по ТК/ИП. Налоги и фиксированные платежи берем на себя   Выплачиваем зарплату два раза в месяц 15 и 30/31 числа   Работаем по производственному календарю РФ. В праздники мы не работаем, но они оплачиваются   Оплачиваемый отпуск и больничный   Предоставляем групповые курсы английского языка  ","['Python', 'Django Framework', 'PostgreSQL', 'Linux', 'Flask', 'Django', 'Удаленная работа']",2people IT,https://hh.ru/vacancy/70472405,,,
69695405,ETL-разработчик (уровень не ниже среднего),Москва,От 3 до 6 лет,"Удалённая работа Обязанности:  Дизайн и разработка витрин данных; Проектирование, разработка и поддержка ETL-процессов для загрузки данных в/из Data Lake; Контроль качества загружаемых данных (ручные и автоматические тесты DQ); Интегрировать новые источники в DataLake; Писать документацию; Работать с экспертами по данным и аналитике, чтобы добиться большей функциональности в наших продуктах данных.  Требования: Обязательно:  Опыт в языках программирования и технологий: SQL, Python; Опыт работы с базами данных: Greenplum, Hadoop, PostgreSQL, Azure SQL, MS SQL Server; Опыт использования ETL инструментов: Apache Nifi, Apache Kafka, Apache Airflow; Хороший письменный и разговорный английский язык.  Желательно:  Опыт работы с BI - платформами (Visiology, MS Power BI, Qlik Sence); Разработка и оптимизация OLAP кубов, XML\MDX.  Условия:  Трудоустройство в штат на основании ТК; Удаленная работа по времени Мск, любой город; Уровень дохода в соответствии с навыками, по результатам встреч.  Ключевые навыки: BI платформы SQL Python Apache Airflow Apache Nifi OLAP кубы","['Python', 'PostgreSQL', 'SQL', 'MS SQL Server', 'ETL']",7RedLines,https://hh.ru/vacancy/69695405,140000.0,180000.0,RUR
70348684,Ведущий разработчик Python,Москва,От 3 до 6 лет,"ADV/web-engineering co. — разработка и развитие интернет-решений. Входим в TOP-3 digital production по версии Tagline и #1 в рейтинге веб-интеграторов. Любим сложные задачи, уделяем внимание мелочам, даем каждому проекту пожизненную гарантию.Мы аккредитованная компания и предоставляем сотрудникам необходимую ""защиту"" и стабильность. В нашей команде открыта позиция Ведущего Python-разработчика на масштабный высоконагруженный международный проект всемирно известной сети питания.Команда сейчас более 70 человек. В скрам-командах - до 8-10 специалистов. Полностью укомплектованный штат - дизайнеры, аналитики, разработчики, ТЛ, РМ, девопсы и тд.Скрам/Канбан. В команде питонистов - 19 человек. Очень сильная командаСтек: python 3.10, asyncio, aiohttp, sanic, fastapi, grpc, asyncpg, aioredis, aio_pika, grpclib, pytest   Что мы ожидаем от кандидата:  Опыт работы с Python (от 2х лет) и наличие реализованных проектов; Знание классических алгоритмов и структур данных; Опыт работы с асинхронным питоном; Умение работать с raw SQL (писать и оптимизировать запросы без использования CRM); - понимание конкурентности Опыт работы с Docker/Kubernetes  Плюсом будет:   опыт разработки с использованием grpc, protobuf, микросервисов.   Что предстоит делать:  развивать и поддерживать микросервисный бэкенд-платформу с высокими нагрузками Работать в тесной связке с дата аналитиками; Писать качественный, понятный коллегам код и придерживаться высоких стандартов разработки;  Мы предлагаем:  У нас все официально, 100% белая зп.ДМС, Соцпакет, нет переработок. По развитию – мы за повышения квалификации и оплачиваем курсы ( в том году 26 ребят отучили). У нас более 180 сотрудников в штате. Большая экспертиза - больше 20 лет на рынке. Плавающее начало рабочего дня с 8 до 11 утра. Обучение за счет компании ДМС со стоматологией Удаленку/гибрид/офис - рассматриваем все варианты. Офис на м. Дмитровской – очень комфортный бизнес центр с панорамным видом и завтраками, свежевыжатым фрешем, салатами и прочими плюшками. И еще адекватное, понимающее и высококлассное руководство (из разработчиков в прошлом). И да, у нас очень современная атмосфера без нудной бюрократии, ненужных отчетов и контроля времени работы сотрудников. Мы за внутреннюю честность и порядочность.  Ждем ваши резюме!","['Python', 'ООП', 'Git', 'Docker', 'Elasticsearch', 'RabbitMQ', 'asyncio', 'aiohttp', 'sanic', 'fastapi', 'grpc', 'pytest', 'Kubernetes']",ADV/web-engineering,https://hh.ru/vacancy/70348684,,,
69988089,Python разработчик,Москва,От 3 до 6 лет,"В ведущей международной табачной компании открыта вакансия Python(DataOps / Backend) разработчика. Основные направления работы:   Поддержка и развитие приложения бизнес-отчетности (Django + Superset) для внутренних потребителей. Поддержка и развитие ряда приложений по интеграции со сторонними системами данных.  Технологический стек:   Backend – Django (приложения с UI), DRF, Flask / FastAPI (для микросервисов, последнее предпочтительнее, но есть много Legacy на Flask); DBMS – Postgres, Clickhouse, MS SQL (в связке с SA / SA ORM); Integrations – Apache Kafka, RabbitMQ, Celery; Misc – Jupyter / Pandas / PySpark.  Задачи:  Проработка и изменение архитектуры приложений; Совместное планирование развития; Поддержка работы приложений (обеспечение стабильности / мониторинга работоспособности компонентов инфраструктуры); Поддержание и обновление стандартов разработки и поставки изменений.  От кандидатов мы ждем:  Опыт работы с Python – не менее 3 лет; SQL – продвинутый уровень владения; Английский не ниже Pre-Intermediate; Уверенное владение UML; Опыт в MLOps будет преимуществом; Опыт работы с Apache Airflow будет преимуществом; Умение настройки и работы с K8s будет преимуществом.  Мы предлагаем:  Возможность полностью удаленной работы или гибрид; Работу в крупной мнждународной компании; ДМС со стоматологией, скидки на ближайших родственников; Скидки на английский язык SkyEng, курсы Skillbox; Оформление в соответствии с ТК, полностью белая заработная плата. ","['Python', 'Django Framework', 'MS SQL', 'MLOps']",ANCOR,https://hh.ru/vacancy/69988089,,,
70727177,Преподаватель по Data Science на Python,Алматы,От 3 до 6 лет,"Мы активно развивающаяся онлайн-школа Academica Courses по анализу данных в Казахстане. Если вы опытный специалист в сфере аналитики данных, дата сайнс и умеете грамотно преподносить обучающий материал, то you're welcome. Можно совмещать с основной работой. Обязанности:  Записывать видео-уроки по Data Science на Python Подготовить домашние задания/раздаточный материал  Требования:  Опыт работы от 3х лет в сфере аналитики данных, дата сайнс Желательно иметь опыт в преподавании курсов  Условия:  Удаленная работа ЗП обговаривается лично с каждым кандидатом ","['Python', 'Грамотная речь', 'Работа с людьми', 'Английский язык', 'Data Analysis', 'Data Science', 'Machine Learning']",Academica,https://hh.ru/vacancy/70727177,1000000.0,,KZT
69612685,Разработчик Python/Django (Middle),Москва,От 3 до 6 лет,"AlfaBit.Group - это современная компания по разработке собственных IT-продуктов в сфере блокчейн технологий и цифровой экономики. Аккредитованная IT-компания В данный момент мы расширяем команду разработки в нашей экосистеме и ищем опытного разработчика Python/Django. Сейчас идет набор в команды по 3 направлениям:  Exchange Pay Wallet  Основные задачи:  Участие в разработке проектов в сфере блокчейн технологий; Разработка backend (REST API ) для сервисов, как в рамках новых проектов, так и для уже существующих; Участие в планировании и декомпозиции задач, своевременное их выполнение; Понимать продукт, вникать в бизнес-процессы; Предлагать архитектурные решения, участвовать в проектировании архитектуры продукта; Мониторить производительность, оптимизировать где нужно; Ведение технической документации;  Требования к кандидату:  Отличное знание Python, Django, Celery, PostgreSQL, Redis, ClickHouse (желателен опыт работы от 3-х лет); Опыт написания unit-тестов; Знание SQL (в частности, PostgreSQL) умение оптимизировать запросы, умение писать запросы без ORM; Опыт работы с микросервисной архитектурой;   Понимание принципов взаимодействия между различными сервисами (где можно обойтись API, а где лучше применять очереди, etc);   Понимание принципов работы с распределёнными брокерами сообщений (Kafka / RabbitMQ);   Владение ООП, SOLID; Понимание основных паттернов проектирования и умение их применять; Знание технологий и принципов сетевого взаимодействия (HTTP(s), RPC, gRPC, REST API); Владение основными инструментами разработки (Git, Docker, Linux, etc.);  Мы предлагаем:  Гибкий график, возможна удаленная работа; Возможность посещать конференции, митапы и другие мероприятия за счет компании; Варианты оформления трудовых отношений подбираются индивидуально, исходя из пожеланий кандидата; ","['Python', 'Linux', 'Django Framework', 'PostgreSQL', 'Redis', 'ООП', 'Celery', 'Django', 'ClickHouse', 'Docker-compose', 'Git']",AlfaBit.Group,https://hh.ru/vacancy/69612685,180000.0,250000.0,RUR
70167801,Python Middle разработчик,Ростов-на-Дону,От 1 года до 3 лет,"AppEvent — модульная платформа автоматизации учёта и онлайн записи. Мы помогаем обрабатывать больше заказов, сокращать цикл сделки, повышать конверсию в продажу и средний чек в компаниях спортивной сферы, фотостудий/лофтов, онлайн образования и других. AppEvent уже пользуются компании из 8 стран СНГ и Европы. Если вы – амбициозны, готовы развиваться и любите создавать продукт на весь мир, то эта вакансия для вас! Чем предстоит заниматься:  Проектировать и разрабатывать компоненты систем Решать нестандартные задачи Помогать менее опытным коллегам Непрерывно обучаться, совершенствовать свои знания и навыки.  Чего мы ждем от тебя:  Отличное знание Python 3 Опыт промышленной разработки на Python от 2-х лет Опыт работы и отличное знание фреймворка Django 3, DRF Опыт работы с Celery Опыт работы с реляционными СУБД (MySQL) Опыт работы с MongoDB, Redis Опыт работы с Docker Желания разрабатывать большие проекты Умения работать в команде и ориентации на результат Стремления к развитию.  Что мы предлагаем:  Интересные задачи, простую и прозрачную систему организации работы Перспективы профессионального и карьерного роста Достойную твоего профессионального уровня зарплату, размер обсудим на собеседовании О стандартном: соблюдаем ТК РФ, дресс кода нет, зато есть печеньки, ну и все остальное.  Можно смотреть любые вакансии, проходить собеседования и ждать хорошего предложения, но с нами ты точно получишь интересные задачи. Узнал здесь себя? Тогда ждем твой отклик)","['Python', 'MongoDB', 'MySQL', 'Django Framework', 'Redis', 'Unix', 'Docker', 'Celery']",AppEvent,https://hh.ru/vacancy/70167801,100000.0,130000.0,RUR
70913862,Spark Developer,Москва,От 3 до 6 лет,"Команда Axenix (ex-Accenture) продолжает работу на российском рынке и аккумулирует 30-ти летний консалтинговый опыт внедрения инновационных решений. Практика Software Engineering в Axenix сегодня – это более 500 исключительных людей, которые работают в области кастомной разработки и проектного управления. Мы создаем цифровые решения на микросервисной архитектуре для банков, ритейлеров и металлургических компаний. В России мы работаем в офисах в Москве, Твери и Ростове-на-Дону, а также удаленно. Постоянно обмениваемся опытом и экспертизой. И сейчас мы в поиске талантливых разработчиков Spark в нашу команду для работы на внутреннем проекте. Какие задачи предстоят: • Участие в амбициозном проекте по разработке отечественного решения по анализу и обработке большого объема данных • Разработка и оптимизация алгоритмов процессинга данных на Spark + Postgres/Greenplum • Работа по SCRUM в дружном молодом коллективе Здорово, если ты: • Имеешь опыт от 4+ лет опыта коммерческой разработки, а также опыт менторства разработчиков и постановки задач • Обладаешь опытом разработки на Spark (RDD, Dataframe, Spark SQL) с использованием Java (предпочтительно) или Python от 3-х лет • Глубоко понимаешь принципы работы Spark, связки с AirFlow и имеешь опыт написания DAG’ов • Работал с Redis, Hadoop, Kafka, PostgreSQL, Greenplum • Имеешь опыт написания высоконагруженных алгоритмов на Spark, а также опыт их оптимизации • Имеешь математическое/инженерное образование - как преимущество Мы предлагаем: • Динамичную работу без рутины в ведущей IT компании • Возможность использовать передовые технологии и стратегии и менять бизнес наших клиентов к лучшему • Проекты в разных индустриальных направлениях с передовыми технологическими решениями и современной архитектурой приложений • Конкурентоспособный уровень дохода, годовые бонусы и регулярное повышение по результатам Performance Review • Культуру непрерывного обучения: сертификация, online и offline обучение в России, менторство в профессиональном развитии • ДМС с первого дня работы, включая стоматологию, в лучших клиниках для cотрудника и его семьи (жена/муж, дети до 18 лет) • Страхование жизни в размере годового оклада сотрудника • Программу поддержки сотрудника и его родственников по психологическим, юридическим, финансовым вопросам • Дополнительные дни оплачиваемого отпуска в год • Ежемесячную денежную компенсацию на питание/содержание автомобиля • Программу корпоративных привилегий PrimeZone (более 1000 ведущих поставщиков продуктов и услуг) • Спортивные и развлекательные мероприятия за счет компании","['Java', 'Spark', 'PostgreSQL', 'Greenplum', 'AirFlow', 'Redis', 'Kafka']",Axenix (ранее Accenture),https://hh.ru/vacancy/70913862,,,
69065805,Разработчик RPA,Алматы,От 1 года до 3 лет,"Обязанности:   Разработка RPA-роботов для внутренних и внешних заказчиков;   Анализ бизнес процессов;   Разработка дополнительного ПО для RPA;   Поддержка разработанных роботов;   Внесение изменения и обновление роботов;   Обеспечение бесперебойности работы RPA-роботов.   Требования:   Опыт программирования C#/Visual Basic .NET/Python уровня middle;   Умение работать с офисными программами;   Знание основных IDE и баз данных;   Наличие действующего сертификата UiPath Certified Advanced RPA Developer (UiARD) - будет плюсом;  Высшее образование в ИТ - будет плюсом.  Мы можем дать:  Профессию будущего уже сегодня: роботизация будет нужна всем, везде и всегда. Работу в узкой сфере, где мало конкурентов по ремеслу. Стать ценным специалистом и построить интересную карьеру в совершенно новом направлении.  Мы предлагаем:  Befree - гибкий рабочий график и возможность работать удаленно – планируй свое время сам!* Конструктор льгот - Мед.страховка, билеты, курсы, фитнес или садик — решай после испытательного срока Обучение - Бесплатные книги и курсы от Coursera, LinkedIn Learning, WebTutor Связь от Beeline - Будь на связи, а расходы мы берем на себя Штатные психологи - Заботимся о твоем душевном здоровье. Время на развитие - Трать 10% рабочего времени на курсы, книги или Pet Project Хорошая зарплата - Регулярно сверяемся с рынком, платим бонус за выполнение KPI Коворкинги и офис - Технологичные оупенспейсы без начальников и кабинетов Корп.культура - Строим её на культе здравого смысла и духа предпринимательства ","['VBA', 'SQL', 'C#', 'MS SQL', 'MS Visual Studio']","Beeline, ТМ",https://hh.ru/vacancy/69065805,,,
69859275,Lead Python Developer,Санкт-Петербург,От 3 до 6 лет,"Кто мы: BestDoctor — экосистема медицинских и страховых сервисов, созданная экспертами для удобного управления здоровьем. Мы меняем рынок медицинского страхования и отношение людей к своему здоровью с помощью качественного сервиса и принципиально нового клиентского опыта. Благодаря глубокой экспертизе в создании медицинских решений и любви к своему делу, нам удалось создать ту самую экосистему полезных, эффективных и, главное, простых медицинских сервисов для управления здоровьем компаний и людей. Чего мы достигли: ⚡️ За семь лет мы вышли на второе место по числу клиентов среди insurtech компаний в Европе. Сегодня с нами уже 100 000+ застрахованных пользователей (40 000 из них мы подключили в 2021 году), а в списке клиентов — Мегафон, Aviasales, МТС Банк, Нетология, InDriver, Эвотор, Ivi., Ostrovok., VC. и еще 140 компаний. ⚡️ Создали экосистему медицинских сервисов, которая включает: сервис онлайн-поддержки 24/7, сервис онлайн записи в оффлайн клинику, своя виртуальная клиника, сервис второго мнения специалиста, чекапы, сервис поддержки психологов и др. Наша следующая цель — сделать все продукты, входящие в экосистему BestDoctor, мультисервисными, разработать подбор индивидуальных программ, создать возможность управлять бюджетом, улучшить HR-кабинет и умную маршрутизацию каждого сотрудника для B2B сегмента. И для этого ищем лучших экспертов, чтобы вместе захватить рынок. О процессе разработки в BestDoctor У нас есть несколько направлений разработки:  Ядро: ключевая архитектура и API нашей айти-инфраструктуры; Пользовательская разработка: мобильное приложение, веб-кабинеты, API для внешних интеграций; Рост и развитие: новые медицинские продукты как для B2B и B2C клиентов; Масштабирование: подготовка к запускам крупных клиентов и выстраивание нестандартных процессов под них; Внутренние процессы: управление финансами и отчетностью, новые инструменты для наших операционщиков  Стек: python 3.10, django / DRF, fastapi, kafka, rabbitmq, postgresql, docker, flake8 + mypy А еще:  Работаем по Agile, адаптируя его под потребности команд; День в неделю мы занимаемся техдолгом и улучшением инструментов разработки; Мы любим в опенсорс; Проводим внутренние митапы для разработчиков, шарим экспертизу внутри команды и вовне; Релизим код несколько раз в день, используем последние стабильные версии языков, библиотек и фреймворков. Пишем много тестов и никогда не перерабатываем.  Что для нас важно:  Опыт коммерческой разработки на Python от 3 лет, хорошее знание самого языка, умение работать с Django или аналогичным веб-фреймворком, с PostgreSQL Опыт работы в команде, умение делать ревью, а также поддерживать процессы и воспринимать фидбэк Умение брать на себя сложные задачи: долгоиграющий рефакторинг, новый сервис или новый модуль существующего, исследование и решение сложных проблем Опыт менторства/управления командой будет большим плюсом.  Как мы нанимаем? Мы готовы оперативно выходить с оффером, если понимаем, что подходим друг другу. Наши этапы:  звонок-знакомство с HR; техническое интервью, которое проводит один из опытных разработчиков нашей команды. Будьте готовы писать код онлайн; встреча с Руководителем разработки и HR (лично или в Zoom).  Почему с нами круто?  Удаленный формат работы; У нас гибкий график работы, который подойдет как жаворонку, так и сове; Тебя будет окружать команда талантливых и мотивированных людей; Мы предоставим тебе ноутбук и всю необходимую технику, которая позволит эффективно и комфортно работать; Медицинское обслуживание через систему BestDoctor.  ❤️ Ты будешь частью большого социально значимого дела. Мы реализуем амбициозную задачу — меняем рынок здравоохранения, действительно помогаем людям, и у нас это отлично получается. И у тебя получится.","['Python', 'PostgreSQL', 'Docker', 'Django Framework', 'RabbitMQ']",BestDoctor,https://hh.ru/vacancy/69859275,300000.0,,RUR
