id,name,area,experience,description,key_skills,employer,alternate_url,languages,from,to,currency
77079681,Аналитик данных,Москва,От 3 до 6 лет,"2GIS.Pro — это платформа для геоаналитики в России и ОАЭ, которая помогает бизнесам и госструктурам принимать решения на основе пространственных данных — например, где открыть следующий магазин или как оптимизировать сеть поликлиник. Качественные и полезные данные — такие, как плотность населения или интересы жителей — сердце этой платформы. Мы ищем опытного аналитика и создателя геоданных, который будет вместе с командой подготавливать слои пространственных данных в 2GIS.Pro в России и ОАЭ. Задачи, которыми предстоит заниматься:  Подготавливать исходные данные к виду, пригодному для анализа; Автоматизировать свою работу (создавать модели, скрипты); Проверять качество данных и принимать решения по замене источников данных, если это необходимо; Искать новые достоверные источники данных и способы обогащения существующих; Тесно взаимодействовать с командой разработки, продактами, проджектами и дизайнерами над превращением данных в продукт с высокой ценностью.  Что ждём от кандидата:   Опыт в аналитике данных от 3 лет; Опыт в создании геоданных; Владение английским на уровне B2 и выше; Владение инструментарием для создания геоданных (ArcGIS, QGIS), а также Python и SQL; Работа с POI, дорожным графом (созданием областей доступности, расчет матрицы расстояний), геокодированием, инструментами пространственного анализа для атрибутивного обогащения данных; Обладать навыками создания геоданных и их доработки без большого количества документации, быть готовым проявлять геоинформационную смекалку в краткие сроки; Любовь к данным — умение видеть за ними смыслы, рассказывать истории на их основе.  Будет плюсом:  Опыт работы с пространственными данными в качестве аналитика или дата-сайнтиста; Опыт в геомаркетинге, управлении ресурсами, банковской сфере, государственных учреждениях; Профильное образование.  Что мы предлагаем   2ГИС — аккредитованная IT-компания;   Возможность вывести на рынки России и ОАЭ уникальный и максимально применимый продукт;   У нас можно работать удалённо. Для нас важен специалист, а не его локация. Если хочешь работать в гибридном формате, у нас есть офисы в Москве, Санкт-Петербурге, два классных офиса в Новосибирске. А также коворкинги в Нижнем Новгороде, Томске, Астане, Алма-Ате и Дубае;   Само собой, полностью белая зарплата. Дополнительные дни отпуска за стаж работы в компании;   Заботимся о здоровье: ДМС и возможность получать онлайн-консультации и терапевта, невролога, психолога и медицинского агента;   Если хочешь делиться своим опытом, мы только за — поможем с выступлениями на конференциях и статьями для Хабра;   Есть собственный учебный центр: курсы, тренинги и книги для прокачки скиллов.  ","['Data Analysis', 'Анализ данных', 'Python', 'SQL', 'ArcGIS', 'QGIS']",2ГИС,https://hh.ru/vacancy/77079681,"[{'id': 'eng', 'name': 'Английский', 'level': {'id': 'b2', 'name': 'B2 — Средне-продвинутый'}}]",,,
76914637,Middle Python Developer,Москва,От 3 до 6 лет,"Мы - команда, которая любит сложные и масштабные решения. Мы постоянно повышаем квалификацию своих сотрудников, помогаем им профессионально расти. Контролируем качество и проводим code-review. Количество и сложность наших проектов постоянно растет, поэтому будем рады видеть в команде таких же заинтересованных и опытных специалистов. Должностные обязанности:  Разрабатывать API для корпоративных веб-приложений Создавать модули обработки данных Разворачивать сторонние сервисы в среде docker Работать по готовым постановкам (jira), с дизайном (figma) и API (swagger) Постоянно взаимодействовать с командой фронта, дизайна, аналитики Предлагать хорошие архитектурные решения  Обязательные требования:  Опыт в коммерческой разработке ПО на Python строго от 3-х лет. Знать нюансы, баги, различия версий. Опыт работы с RestAPI фреймворками (FastAPI, Falcon, Django и пр.) Опыт применения асинхронных фреймворков (asyncio, fastapi, aioikafka, asyncpg) Отличные навыки работы с базами данных PostgreSQL, MongoDB и др. Опыт работы с Kafka, RabbitMQ, Docker, Redis Опыт работы с микросервисной архитектурой Знание принципов программирования (SOLID, ООП, паттерны проектирования, методы рефакторинга и т. д.) Опыт в ML (распознавание образов)  Желательно:  Высшее техническое образование Умение анализировать чужой код и вдумчиво писать свой с учётом потенциальных последствий для системы Умение работать с технической документацией (в том числе на английском языке) Знание GIT на уровне: способен смержить несколько веток с конфликтами Опыт работы с Jira  Условия:  Удаленная работа с гибким началом дня (обсуждается индивидуально) Интересные, местами сложные и разнообразные задачи, которые помогут тебе прокачать свои навыки Отсутствие бюрократии, простая и прозрачная схема работы; ","['Python', 'PostgreSQL', 'ООП', 'Docker', 'ML', 'RabbitMQ', 'API']",53x Apps,https://hh.ru/vacancy/76914637,,100000.0,200000.0,RUR
76510950,Аналитик данных,Москва,От 3 до 6 лет,"Языки: - SQL; - Python/pyspark будет плюсом. Обязанности: - Построение концептуальной, логической и физической моделей данных; - Анализ витрин из различных источников; - Построение дэшбордов в BI-инструментах (QlikSense, Tableau. Power BI будет плюсом); Подготовка технического задания для инженеров (Source-to-Target Mapping); - Документирование источников и приемников данных; - Участие в проектах/инициативах по управлению данными, направленных на повышение качества данных; - Быть ключевой точкой контакта между дата стюардом и дата инженером; - Предоставление экспертной поддержки; - Документирование разработанных решений; Требования: - Опыт работы 2-4 года в роли специалиста по визуализации данных, исследователя данных или аналитика данных; - Опыт использования SQL для извлечения, очистки и преобразования данных; - Опыт поиска, хранения и обновления данных; - Владение инструментами визуализации данных, такими как Tableau/Qlik Sense/Power BI, для комплексного анализа данных и представления информации; - Опыт работы с Confluence, Jira. - Опыт работы с облачными технологиями (Azure, Yandex Cloud Platform) приветствуется; - Способность адаптироваться к неоднозначности и быть в восторге от исследования данных; - Стремление к саморазвитию и изучению новых технологий и инструментов; - Готовность принимать решения и брать на себя ответственность; - Сильные устные и письменные коммуникативные навыки. Условия: - Трудоустройство в штат на основании ТК;- Удаленная работа по времени Мск, любой город;- Уровень дохода в соответствии с навыками, по результатам встреч.","['Qlik Sense', 'Python', 'SQL', 'Tableau', 'Power BI']",7RedLines,https://hh.ru/vacancy/76510950,,180000.0,200000.0,RUR
69143107,Specialist DevOps,Москва,От 3 до 6 лет,"Центр Компетенций ALP Group — экспертное подразделение компании, оказывающее следующие услуги:• Проектирование и разработка архитектуры для микросервисных решений.• Анализ имеющейся в компании архитектуры.• Внедрение процессов CI/CD.• Развитие имеющихся digital решений и инструментов.• Услуги по управлению ИТ-инфраструктурой.• Подбор сервис-провайдеров для решения имеющихся задач. Мы ищем Specialist DevOps на крупные проекты для наших клиентов.   Что мы предлагаем тебе:  Работу в успешной аккредитованной ИТ-компании — это интересные задачи, крупные международные и российские клиенты. Удаленный формат работы — оборудование предоставляем, если нужно. График 5/2, с 9 до 18/с 10 до 19. Комфортные условия для работы — если всё-таки хочется работать в офисе - современный офис в Москве, в шаговой доступности от метро ул. 1905 года. У нас оборудованная кухня с чаем и кофе, есть корпоративная библиотека. Реальные перспективы профессионального и карьерного роста — всячески поощряем развитие: разрабатываем индивидуальные планы, развиваем систему наставничества, применяем грейды и проводим ротации. Обучение и сертификацию за счет компании — оплачиваем внешние курсы и тренинги, приглашаем экспертов для выступлений перед сотрудниками, даем доступ к библиотеке профессиональной литературы. ДМС после испытательного срока — заботимся о здоровье. Приятные бонусы — различные скидки от наших партнёров (курсы, страхование, английский), оплачиваем проезд (по заявкам). Отличный коллектив и здоровую атмосферу — общаемся свободно и со всеми на «ты», открыты к идеям и предложениям, поддерживаем друг друга; проводим мероприятия в офисе и выездные корпоративы. Официальное трудоустройство — оформляем по ТК РФ со всеми гарантиями. Полностью «белую» зарплату — уровень дохода мы обсуждаем с кандидатом по итогам собеседования. Доплачиваем за переработки, если они случаются.    Что у нас уже есть на проекте:  Digital-экосистема, целевой охват - Россия и ближнее зарубежье. Тестовые, динамические и продуктивные среды, представленные в кластерах Kubernetes. 5 кластеров Kubernetes, управление окружениями посредством инструментов ArgoCD, Argo Workflow. Три площадки в России. Everything as a Code - минимум ручных действий, максимум автоматизации.    Что мы делаем на проекте (и что будешь делать ты):  Управляем инфраструктурой и развиваем её. Управляем процессами CI/CD. Развиваем окружение для приложений, подход - максимально уйти в кластеры k8s. GitOps и чатботы - мы используем ArgoCD, Argo Workflow, для организации GitOps подхода. Коммуницируем в проекте с продуктовыми командами – бизнес и разработчики, тестировщики, devops. Выбираем и общаемся с сервис-провайдерами. Автоматизируем процессы. Мониторим и оптимизируем работу инфраструктуры и сервисов. Разворачиваем новые сервисы в формате HA & HL.    Что мы планируем сделать в ближайшее время:  Переход на ServiceMesh на базе Istio. Организация канареечных релизов на базе Argo Workflow. Развитие собственных инструментов и подходов для организации работ компании.  Что мы используем: CentOS, Terraform, Kustomize, Helm, ArgoCD, Argo Workflow, Ansible, AWX, PostgreSQL, Barman, Patroni, Consul Gitlab CI, RabbitMQ, Kafka, Redis, Kubernetes, Docker, ELK-стек, Zabbix, Prometheus, Grafana, VictoriaMetrics, APM, Sentry, Keepalived, HAProxy, Traefik, Istio, Python.   Что для нас важно:  Уверенные знания Linux. Опыт использования CI/CD в рамках Gitlab. Опыт работы с Ansible, Terraform, molecule. Опыт работы с ArgoCD, Argo Workflow. Опыт работы с YandexCloud, провайдер terraform для Yandex Cloud. Опыт работы с git. Опыт работы с брокерами: RabbitMQ, Kafka. Опыт работы с реляционными базами: PostgreSQL. Опыт работы с балансировщиками: HAProxy, Keepalived, Traefik, Istio. Опыт использования систем мониторинга: Zabbix, Prometheus, Sentry, ELK. Понимание принципов построения распределенных систем. Администрирование и опыт работы с Kubernetes. Знание Helm3, Kustomize. Знание Python.     ","['Docker', 'Kubernetes', 'PostgreSQL', 'Zabbix', 'Prometheus', 'Ansible', 'k8s', 'Python', 'Bash']",ALP GROUP,https://hh.ru/vacancy/69143107,,,300000.0,RUR
76938696,Бизнес аналитик КЦ,Москва,От 3 до 6 лет,"В нашем клиенте, Топ-5 банков России, открыта позиция бизнес-аналитика на задачи по развитию приложения для сотрудников контакт-центра. Мы ищем человека, который будет делать следующее:  Взаимодействовать с бизнес-заказчиком по внесению изменений в системы сервиса; Подготавливать бизнес-требования, согласовывать ТЗ на разработку/доработку программного обеспечения с целью автоматизации процессов; Организовывать и контролировать проведения тестирование; Подготавливать/актуализировать методические инструкции по использованию.  Профессиональный опыт и навыки:   Опыт работы бизнес аналитиком от 2-х лет;   Опыт работы с колл-центром/контакт-центром;   Опыт разработки бизнес-требований, описания бизнес-процессов;   Знание SQL, Python будет плюсом.   Условия:  Конкурентоспособная заработная плата; ДМС со стоматологией с первого дня; Опыт работы в стабильной компании на крупных проектах с возможностью профессионального развития; Оформление по ТК РФ; Возможен удаленный, гибридный или офисный формат работы; График работы 5/2. ","['UML', 'SQL', 'Agile', 'Python', 'Анализ бизнес-процессов', 'Jira', 'Удаленная работа', 'Автоматизация процессов', 'Написание ТЗ', 'BPMN', 'CRM']",ANCOR,https://hh.ru/vacancy/76938696,,,,
76710564,Python Team Lead,Москва,От 3 до 6 лет,"О нас: ARHITEX - это быстроразвивающаяся команда высококвалифицированных единомышленников. Мы занимаемся разработкой инновационных программных продуктов для нефтегазовой отрасли с использованием самых передовых технологий (AI, IoT, Blockchain, Имитационное моделирование, различные технологии прогнозирования и математического моделирования и т.п.). Мы создаем, развиваем и поддерживаем продукты, которые помогают компаниям нефтегазового сектора решать сложные бизнес задачи и реализовывать задачи Цифровой трансформации в области управления логистикой, эффективностью использования инфраструктуры, прогнозирования и контроля поставок нефтепродуктов. Наши решения были успешно внедрены рядом крупных компаний, и в данный момент мы находимся в стадии активного развития нашего продуктового портфеля. Наша миссия - создавать среду, в которой каждый человек будет раскрывать свой потенциал,создавать уникальные продукты и совершенствоваться сверх ожиданий. Задачи:   Разработка нового функционала в рамках проектов для крупных компаний в сфере продвинутых математических моделей;   Управление командой python разработчиков (вначале 3 человека, далее планируем в течение года расширить команду до 10 человек);   Оценка новых задач и проектов;   Взаимодействие с заказчиком.   Наши ожидания:   Вы имеете аналогичный опыт от 3 лет и больше;   Знаете Python 3 на отличном уровне;   Имеете опыт промышленной разработки при микросервисной архитектуре;   Знаете и применяете паттерны проектирования;   Работали с библиотеками: airflow, pandas, celery, flask/fastapi/django;   Использовали в работе Git;   Соблюдаете сроки разработки;   Оцениваете и продумываете функционал на основе верхнеуровневых требований совместно со смежными подразделениями;   В рамках управления командой:  Проводите декомпозицию задач и распределяете их между командой; Есть опыт постановки задач и контроля исполнения; Имеете опыт обучения сотрудников (Python); Управляете загрузкой сотрудников.  Мы предлагаем:   Конкурентоспособную заработную плату;   Гибкий график работы (40 часов в неделю);   Современную технику и ПО для работы, настройку удаленного рабочего места при желании работать из дома;   Полностью удаленную работу на территории РФ или гибридный формат работы при желании релоцироваться в Санкт-Петербург (офис в центре города);   Оформление по ТК РФ, оплачиваемые отпуска и больничные;   Компенсация расходов на здоровье, увлечения, обучение и др.;   Профессиональный рост и развитие (посещение профильных конференций, мероприятий и др.).  ","['Python', 'Git', 'Pandas', 'Flask', 'Управление командой', 'Mathematical Modeling', 'Удаленная работа', 'Blockchain', 'Эффективное принятие решений']",ARHITEX,https://hh.ru/vacancy/76710564,,,,
77144116,Data Engineer,Москва,От 3 до 6 лет,"Компания ARK - экосистема решений, позволяющих закрывать полный цикл по оптимизации бизнес процессов. Мы работали над сайтами, мобильными приложениями и IT платформами для крупнейших медийных, фармацевтических, киберспорт и FMCG компаний. Собственное SFA-решение – автоматизация работы полевых команд (мерч, торговые представители, сотрудники торгового зала), Retail & FMCG.   Чем предстоит заниматься:  Разработка витрин данных Teradata, MS SQL; Поддержка пользователей при работе с инструментами отчетности (вопросы управления доступом, корректности данных, скорости работы отчетов и выгрузок); Мониторинг и оптимизация процедур загрузки данных; Взаимодействие с другими техническими командами, в том числе, на иностранном языке (переписки, встречи); Оптимизация сложных объемных запросов к хранилищу данных; Ведение документации.    Требования:  Опыт разработки витрин данных и SQL-запросов (MS SQL/Teradata); Опыт работы с большими объемами данных и оптимизация запросов; Опыт работы с ETL-инструментами и опыт построения ETL процессов; Опыт разработки на языке Python; Опыт работы с Git и облачными решениями; Понимание принципов построения баз данных и принципов построения запросов из различных приложений к ним; Знание принципов архитектурного построения BI решений, умение оптимизировать и предлагать лучшие процессы в архитектуре; Понимание бизнес-процессов в одной или нескольких предметных областях: Заказы, Продажи, Поставки; Знание английского на разговорном уровне и возможность ведения рабочей переписки.    Будет плюсом:  Опыт разработки юниверсов SAP BusinessObjects (особенно контексты); Опыт построения отчетов и дашбордов SAP Business Objects; Опыт работы с ETL-инструментами и опыт построения ETL процессов; Опыт разработки на языке Python; Опыт работы с Git и облачными решениями.    Мы предлагаем:   аккредитованная it-компания   удаленная работа   процесс обмена знаниями и рост в команде   график работы 5/2   интересные и нетривиальные задачи   дружный коллектив    ","['ETL', 'SAP Business Objects', 'Python', 'Базы данных', 'MS SQL Server', 'teradata', 'Git', 'BI']",ARK,https://hh.ru/vacancy/77144116,,,,
76584985,IOS developer,Санкт-Петербург,От 1 года до 3 лет,"Привет! Мы - команда AdChampagne: агентство мобильного маркетинга. Мы работаем по всему миру, постоянно пробуем новые направления и очень быстро растем. В один из наших проектов, студию мобильной разработки Arrrive, мы приглашаем IOS разработчика. Работать предстоит над игровым приложением, жемчужиной наших проектов - гипер казуальной новеллой.Знакомься же с нашими условиями, и если мы - это то, что ты ищешь, а ты - это тот, кого ищем мы, оставляй скорее отклик, и добро пожаловать в команду!Что нужно от тебя:​​​  опыт разработки мобильных приложений in-house различной сложности от 2 лет; знание языка Swift, Objective-C (разработка на Swift, но есть компоненты ранее написанные на Objective-C); опыт разработки на C и python будет преимуществом; знание iOS SDK (Foundation, CoreData, CoreLocation и др.), понимание архитектуры iOS; опыт работы с Firebase: analytics, authentication, notification, database, a/b testing, так же понимание Adapty, Branch IO; опыт работы с векторной и растровой анимацией (live 2 d, lottie, webm); английский язык от B1.  Что нужно будет делать:  верстать и дорабатывать игровое приложение; поддерживать актуальности кода, разрабатывать дополнительный функционал; участвовать в проектировании архитектуры приложения; взаимодействовать с командой, предлагать свои решения.  Что ты получишь от нас:  во первых, и самое главное: у нас классная, веселая команда нетипичных it-специалистов, будет дружно и весело 100%; во вторых, что тоже немаловажно в наше время: ты можешь работать удаленно сидя у бассейна и попивая коктейль из кокоса. Что в тоже время не лишает тебя возможности посетить наш замечательный офис в центре Спб (исключительно по твоему желанию); а что у нас в офисе? вкусные горячие обеды, настолки, приставка с лучшей коллекцией игр из твоего детства и опять же душевная компания; зп. можно получать как в рублях так и в $; кроме всего прочего (хотя куда уж лучше): английский язык или второй иностранный, если ты сам тот еще англичанин, сессии с психологом, если вдруг сгрустнулось, и спортивные тренировки, чтобы попа была как орех!  пссс: рост зарплаты предусмотрен) Все прочитал и ёкнуло?Значит это судьба)Жмякай на кнопку откликнуться и будем общаться!","['Swift', 'iOS', 'iOS SDK', 'UIKit', 'SwiftUI', 'JSON API', 'C+']",AdChampagne,https://hh.ru/vacancy/76584985,"[{'id': 'eng', 'name': 'Английский', 'level': {'id': 'b1', 'name': 'B1 — Средний'}}]",2000.0,2500.0,USD
76826222,Senior System Engineer/DevOps,Санкт-Петербург,От 3 до 6 лет,"We are looking for a Senior System Engineer/DevOps to join our team of world-class algorithmic trading professionals. We value talent, deep knowledge, critical thinking, openness and courtesy in communication. We expect that the candidate will join our Infrastructure Team to work on systems backing the whole company business. It will require deep technical and operational knowledge across all areas - networks, bare-metal and cloud servers, application clusters, data storages, development infrastructure - in order to ensure highest security, performance and reliability. We offer a chance to build complex solutions using cutting edge technologies and mature DevOps practices in the atmosphere of creativity and collaboration. Your responsibilities will be:   Implement and improve the DevOps tool set to automate the application configuration and deployment;   Implement and improve monitoring infrastructure to ensure visibility of all processes;   Proactively monitor, support and troubleshoot mission critical trading systems and applications to ensure the maximum uptime and availability;   Build and maintain network infrastructure (s2s vpn, client vpn, firewalls, policy based routing);   Interact and communicate with external parties on connectivity or trading related technical issues;   Document the new processes and procedures to make sure that all documentation are up-to-date and relevant;   Implement and maintain AWS infrastructure (mostly computing and networking);   Tune performance of networks, hardware and software, build custom solutions to achieve better performance;   Maintain highest degree of information security implementing industry best practices.   Skills and Experience:   3+ years of relevant work experience in an IT ops role;   Strong understanding of the Linux operating system, including network and system configuration, kernel internals, scheduling, performance tuning;   Understanding of networking concepts and technologies;   Proven hands-on experience with configuration management systems (Ansible preferred) and scripting languages (Bash/Python);   Familiarity with the following technologies: Linux, Ansible, RabbitMQ, GitLab, Clickhouse, Systemd, Iptables, Docker, Openvpn, Zabbix, IPSEC, Prometheus, Grafana, Loki, ELK, PostgreSQL, KVM/Libvirt, Proxmox, Amazon EC2 and KDB;   Strong communication skills;   A deep sense of ownership and urgency, detail-oriented approach to operations.   Bonus Points:   Experience in the HFT, Algorithmic Trading or related areas   What we offer:  Excellent opportunities for professional growth and self-realization; Experience exchange with top-professional colleagues; Competitive compensation depending on experience and skills; Flexible work schedule; 'A' class office in St. Petersburg/Dubai or remote work from any country in the world; Help with relocation; Friendly team and enjoyable working environment; Awesome corporate events. ","['Linux', 'Ansible', 'RabbitMQ', 'PostgreSQL', 'CI/CD', 'Zabbix', 'GitLab', 'Администрирование серверов Linux', 'Docker', 'Proxmox', 'Clickhouse', 'DevOps', 'Grafana', 'Prometheus']",Advantage Solutions,https://hh.ru/vacancy/76826222,,4500.0,,USD
77232955,Senior QA Engineer,Москва,От 1 года до 3 лет,"Привет!) Мы Aero — e-commerce разработчик № 1 в России. Аккредитованная IT компания. Делаем онлайн-шопинг простым и приятным, а магазины – надежными и безопасными. Что предстоит:  Функциональное ручное тестирование продукта (преимущественно тестирование backend); Автоматизированное тестирование; Вычитка и согласование постановок; Создание и актуализация тестовой документации в TEstOps; Тестирование API-микросервиса;  Тестирование UI-части, связанной с микросервисом;  Самостоятельное участие в релизах;  Участие в других задачах в рамках проекта.   Чего ждем:  Опыт в тестирование web-проектов, желательно ecommerce; Опыт разработки автоматизированных тестов UI/API на python/java В интеграционном тестировании (postman,swagger) - must have)));  Опыт работы с REST API;   Уметь работать с query-параметрами, basic и bearer auth; с JSON запросами; с кодами ответа сервера;   Понимание работы с базой данных (PostgreSQL);   Ориентироваться в pgadmin;   Опыт работы с очередями и шинами данных kafka (будет отличным плюсом);   Проактивная позиция: ты видишь несовершенства во всем и ищешь возможности их исправить.   Что предлагаем: Мы готовы гибко обсуждать любые условия. Будем исходить из ожиданий успешного кандидата. Базовый пакет включает:  Продуктовая команда, открытая твоим идеям, руководитель и коллеги с сильной экспертизой, открытый диалог с разработчиками и аналитиками; Оформление ТК РФ, белая ЗП, прозрачная система роста; Удаленный или гибридный формат на выбор (офисы Москва/Ярославль), свободное начало дня; Крутые корпоративы, ДМС, английский со скидкой 50%, винишко у тебя в бокале.  Aero — eCommerce разработчик №1. Мы создаем крупнейшие интернет-магазины для международных розничных сетей. Делаем онлайн-шопинг простым и приятным, а магазины – надежными и безопасными. Нам доверяют МВидео, Медиамаркт, Метро C&C, Ингосстрах, Мегафон и многие другие.","['Python', 'Git', 'QA', 'Ручное тестирование', 'REST API', 'Рostman', 'Swagger']",Aero,https://hh.ru/vacancy/77232955,,,,
