id,name,area,experience,description,key_skills,employer,alternate_url,from,to,currency
75884131,"Senior Game Designer (монетизация, удаленно)",Москва,От 3 до 6 лет,"Azur Games — международная компания. Мы входим в ТОП-3 мировых издателей мобильных игр по загрузкам. В 2022 году мы преодолели отметку в 3 миллиарда установок!В нашем портфолио 150+ успешных free-to-play проектов в разных игровых жанрах: от 3D экшен-шутеров с синхронным PvP до гиперкэжуала.Azur Games сегодня — это более 500 профессионалов, работающих по всему миру. У нас есть офисы на Кипре, в ОАЭ, Грузии, Армении, Черногории. Также к нам можно присоединиться и из других стран удаленно На новый проект Kingdom Clash ищем Game Designer с опытом монетизации сетевых игр, в частности фичей с кланами и большой аудиторией, чтобы вывести проект на новый уровень! Мы создаем баттлер с элементами стратегии и карточной коллекционной игры. Проект недавно запущен и уже зарабатывает, но мы не останавливаемся на этом и искренне верим, что можем больше и лучше. Если тебе близки наши идеи, то мы ждем тебя в нашей команде ❤️ Вот здесь ссылка на стор: https://play.google.com/store/apps/details?id=azurgames.idle.war&hl=ru&gl=US Задачи, которые тебя ждут:  Анализ рынка и отслеживание трендов игровой индустрии, поиск перспективных идей и механик; Анализ фидбека игроков, работа со статистикой; Анализ метрик запускаемых фичей; Расчет экономики и настройка баланса; Формирование и проверка гипотез; Написание документации, ТЗ для команды по технической и артовой части;  Что хотим видеть:  Опыт работы на позиции game designer от 3-х лет; Желание разрабатывать мидкорные мобильные f2p проекты; Знание игровой индустрии, актуальных игровых тенденций, понимание критериев успешности мобильных игр; Умение работать с игровой документацией: концепт документы, технические задания и т.д.; Хорошая математика, уверенная работа с таблицами (игровые расчеты, баланс); Внимание к деталям, усидчивость и здоровый перфекционизм; Высокая коммуникабельность, проактивность, внимание к деталям.  Что предлагаем:  Добровольное медицинское страхование; 50% компенсация индивидуального обучения английскому; Обучение, профильные конференции; Внутренняя экспертиза. ","['Unity', 'Game Design', 'Техническая документация', 'Монетизация']",Azur Games,https://hh.ru/vacancy/75884131,,,
76412219,"Middle Game Designer (Hyper Casual, удаленно)",Москва,От 1 года до 3 лет,"Azur Games — международная компания. Мы входим в ТОП-3 мировых издателей мобильных игр по загрузкам. В 2022 году мы преодолели отметку в 3 миллиарда установок!В нашем портфолио 150+ успешных free-to-play проектов в разных игровых жанрах: от 3D экшен-шутеров с синхронным PvP до гиперкэжуала.Azur Games сегодня — это более 500 профессионалов, работающих по всему миру. У нас есть офисы на Кипре, в ОАЭ, Грузии, Армении, Черногории. Также к нам можно присоединиться и из других стран удаленно Мы в поисках сильного гейм дизайнера, который сможет привнести свои идеи и выводить проекты в топы! Задачи, которые тебя ждут:  Создание гиперказуальных мобильных игр в итеративном процессе: прототип, тест, принятие решения о развитии прототипа в игру; Проектирование игр от А до Я: концепция, геймплей, уровни, окружение, системы вознаграждения, сложность, балансировка и т.д.; Постоянное совершенствование и оптимизация процесса производства прототипов и игр; Постоянный поиск новых идей и трендов для массовой аудитории.  Что хотим видеть:  Опыт работы геймдизайнером (в казуальном и/или в гиперказуальном направлении) от 2-х лет, опыт работы с Unity; Портфолио выпущенных игр в качестве гейм-дизайнера; Уверенные знания в области гейм-дизайна: геймплейные механики, продуктовые метрики, дизайн уровней и UI/UX; Способность деконструировать игры и определять их сильные и слабые стороны; Дизайнерское мышление и ориентированный на пользователя подход к разработке игр; Проактивность и инициативность.  Что предлагаем:  Оплачиваемый отпуск и больничный; 50% компенсация индивидуального обучения английскому; Сильную команду профессионалов; Обучение, профильные конференции. ","['Unity', 'Game Design', 'Hyper Casual', 'Level Design']",Azur Games,https://hh.ru/vacancy/76412219,,,
77149755,"Senior Unity Developer (Casual), Удаленно",Москва,От 3 до 6 лет,"Azur Games — международная компания. Мы входим в ТОП-3 мировых издателей мобильных игр по загрузкам. В 2022 году мы преодолели отметку в 3 миллиарда установок!В нашем портфолио 150+ успешных free-to-play проектов в разных игровых жанрах: от 3D экшен-шутеров с синхронным PvP до гиперкэжуала.Azur Games сегодня — это более 500 профессионалов, работающих по всему миру. У нас есть офисы на Кипре, в ОАЭ, Грузии, Армении, Черногории. Также к нам можно присоединиться и из других стран удаленно В одну из наших студий (Diesel Puppet) мы ищем самостоятельно Senior Unity Developer на новый казуальный проект (2D puzzle) с перспективой роста до лида. Команда: Геймдизайнер, команда арта, тестировщик. Обязанности:  Разработка архитектуры проекта Самостоятельная разработка игровых прототипов (для проверки/тестирования механик) и дальнейшее развитие проекта Командное взаимодействие  Требования:  Опыт коммерческой разработки на Unity под мобильные игры от 3-х лет на казуальных проектах с различными механиками Участие в выпущенных продуктах и портфолио (ссылки на проекты + примеры кода) Самостоятельность в работе Опыт работы с web-сервисами Целеустремленность и работа на результат, красивый снаружи и внутри Понимание работы систем и компонентов Unity Хорошее знание С# Знание принципов ООП, паттернов и антипаттернов проектирования Unity-приложений Понимание Git и Git-flow  Условия:   Гибкий график работы: плавающие часы старта работы, удаленно   Софинансирование профессионального обучения, участие в профильных конференциях, тренингах, образовательных мероприятиях  ",,Azur Games,https://hh.ru/vacancy/77149755,,,
77148992,"Lead Level Designer (Gamedev), Удаленно",Москва,От 1 года до 3 лет,"Azur Games — международная компания. Мы входим в ТОП-3 мировых издателей мобильных игр по загрузкам. В 2022 году мы преодолели отметку в 3 миллиарда установок!В нашем портфолио 150+ успешных free-to-play проектов в разных игровых жанрах: от 3D экшен-шутеров с синхронным PvP до гиперкэжуала.Azur Games сегодня — это более 500 профессионалов, работающих по всему миру. У нас есть офисы на Кипре, в ОАЭ, Грузии, Армении, Черногории. Также к нам можно присоединиться и из других стран удаленно. Last Level — наша студия, которая занимается разработкой мультиплеерных мобильных игр на платформе Unity3D и является одной из лидеров в жанре FPS шутеров. Основные хиты: Modern Strike Online, World War Heroes и Sky Combat. Мы ищем в команду опытного Лида левел дизайнера, который будет отвечать за реализацию игровых уровней и повысит уровень экспертности на проекте Modern Strike Online. Обязанности:  Создавать блокауты карт и разрабатывать новые локации Улучшать играбельность текущих карт Проводить плейтесты, анализировать результаты Работать над освещением новых и существующих карт Распределять задачи между левел дизайнером и художниками по окружению (концепт и моделлинг) Мониторинг, контроль, мотивация, улучшения процессов, привнесение новых технологий  Требования:  Имеешь опыт от 3-х лет работы на позиции левел дизайнера над 3D проектами в стилистике реализма Имеешь опыт работы с Unity Умеешь работать с пространством и освещением Имеешь опыт работы с git Можешь показать свое портфолио и работы с уровнями.  Условия:   Гибкий график работы: плавающие часы старта работы   ДМС со стоматологией и 50% компенсации психологической помощи   Софинансирование профессионального обучения, участие в профильных конференциях, тренингах, образовательных мероприятиях   50% оплаты обучения английскому и любому второму языку  ","['Unity', 'C#', 'Английский язык', 'Adobe Photoshop', 'Unity3D']",Azur Games,https://hh.ru/vacancy/77148992,,,
76343785,UX / UI Artist,Москва,От 1 года до 3 лет,"Команда Beresnev Games в поиске опытного UI/UX Artist с с опытом работы в гипер-казуальных и казуальных проектах.Вы усилите нашу команду и будете заниматься поддержкой находящихся в оперировании проектов (таких, как Race Master 3D), а также разработкой новых прототипов.Чем предстоит заниматься:  Создание макетов пользовательского интерфейса для мобильных игр; Создание иконок и арта; Экспорт и верстка UI. Что мы ожидаем:  Опыт работы на схожей позиции от 2х лет; Релевантное портфолио (кандидаты без портфолио не рассматриваются); Понимание принципов юзабилити; Владение графическими пакетами Adobe; Понимание композиции, цвета и перспективы, наличие хорошего чувства стиля.  Плюсом будет:  Опыт работы с Git. Мы предлагаем:  Конкурентную заработную плату и бонусную систему; Теплую рабочую атмосферу и дружный коллектив; Оплачиваемый отпуск, больничные и Sick days; Возможность профессионального роста и корпоративного обучения; Полностью удаленную работу, в перспективе - релокацию в Прагу. ","['Adobe Photoshop', 'Adobe Illustrator', 'Axure', '2d artist', 'UI', 'gamedev', 'UI/UX', 'Icon']",Beresnev Games,https://hh.ru/vacancy/76343785,,,
76419355,Game Designer,Москва,От 1 года до 3 лет,"ChillBase — независимая игровая студия. Мы делаем только те продукты, которые драйвят нас - и это наша главная ценность. На текущий момент наши проекты находятся в релизе и продолжают активно развиваться. Мы привыкли выполнять задачи качественно, но жесткая корпоративная иерархия - это не про нас.CombatQuest - это гибрид-казуальный экшн рогалик в стиле Archero, рассчитанный на международную аудиторию.Если хочешь попасть в вовлеченную команду, работать над интересными задачами с минимумом бюрократии, регулярно слышать честную обратную связь, то нам по пути!Что хотим видеть:- Релевантный опыт работы от года;- Игровой опыт и знание индустрии (жанры, тренды, хиты), понимание психологии платящего;- Опыт работы с Unity;- Понимание продуктовых метрик и влияние фичей на них;- Умение связывать свою работу с продуктовыми изменениями;- Умение и готовность писать ГДД;- Умение генерировать гипотезы направленные на рост продуктовых метрик;- Понимание основных принципов мобильного UX;- Опыт ведения фичи от идеи до релиза.Дополнительно будет круто:- Опыт работы с аналитикой и аналитическими системами;- Понимание принципов работы программ смежных игровых направлений;- Опыт взаимодействия со смежными командами (Арт, Разработка) и знание специфики их работы;- Наличие игровых прототипов.Что предстоит делать:- Разработка новых игровых механик и написание ГД документов по ним;- Сопровождение фичей через общение с командой на всех этапах производства фичей;- Работа с движком Unity: настройка игровых параметров;- Левел-дизайн (шаблоны, внутренний редактор);- Создание мобов и боссов (заказ у Арта) и настройка их поведения;- Подготовка фичей к локализации (расстановка ключей);- Мониторинг приложений конкурентов и поиск потенциально интересных дизайн-решений среди игр разных жанров.Что мы предлагаем:- Официальное трудоустройство в нескольких гео (Россия/Казахстан/Армения);- 100% компенсация отпускных и оплачиваемые больничные;- Удаленная занятость или классный офис в центре Алматы;- Возможность развивать свои идеи, свобода для творчества и в принятии решений;- Гибкое начало дня, комфортная и неформальная атмосфера в команде;- Прокачивание навыков и личных качеств по индивидуальному плану развития;- Пересмотр ЗП по мере роста навыков и уровня выполняемых задач;- Совместный чилл и активности :)",,ChillBase,https://hh.ru/vacancy/76419355,,,
76794140,Unreal Engine Developer,Владивосток,Нет опыта,"Fntastic — удаленно работающая организация. Наши продукты известны всему миру:The Day Before - одна из самых ожидаемых игр в мире (#1 Steam Global Top Wishlists 2022)Propnight - бестселлер SteamContinent - приложение для удаленной работы Обязанности: ● Создание и поддержка кода● Работа с Blueprint и С++ Требования: ● Знание С++● Приветствуется опыт работы с игровым движком Unreal Engine● Приветствуется умение работать с Git Условия: ● Стабильная заработная плата и трудоустройство по ТК● Дополнительный выходной в месяц● Премии● Удаленная работа из любой точки мира● Интересная работа в ведущей игровой компании● Работа в дружелюбной атмосфере талантливых людей● Предоставление оборудования, необходимого для удаленной работы","['Unreal Engine', 'Unreal Engine 4', 'C++', 'Разработка компьютерных Игр', 'Gamedev', 'Game Programming']",Fntastic,https://hh.ru/vacancy/76794140,,,
75728863,Гейм-дизайнер,Ростов-на-Дону,От 1 года до 3 лет,"Gamez.monster - геймдев-студия. Делаем и паблишим игры для мобильных устройств. Работаем на Unity. Мы в поиске геймдизайнеров, которые готовы вместе с нами достигать успеха в Gamedev. Преимущества работы: - Слушаем идеи - не просто “сделай это”, а прислушиваемся к идеям и помогаем реализовать их - Гибкий график - можно работать днем, ночью, когда угодно - Agile-методика - работаем недельными спринтами - Отличное вознаграждение - команда проекта получает % с прибыли игры Вы нам понравитесь, если: - У вас есть понимание метрик: Retention(DAU,MAU,WAU), ARPU, LTV - что их связывает и что во что вытекает. - Вы умеете логически доносить ход своих мыслей, как устно так и на письме. - Умеете воспринимать критику. - Вы играете в мобильные игры - любых направлений ГК/Гибрид, казуал.     Чем вы будете заниматься: - Писать документ по шаблону -Рассчитывать экономику -Деконстрактить -Продумывать точки монетизации - Придумывать игры по концептам - Перекладывать видение игры в задачи для других сотрудников (разработчиков, художников и т.д.) - Если у вас есть опыт в Левел-дизайне это большой плюс! ЕСЛИ ИНТЕРЕСНО: 1) Оставьте отклик на эту вакансию 2) Вам в hh.ru придет ответ с указанием дальнейших шагов","['Unity', 'Разработка компьютерных Игр', 'Game Programming', 'Gamedev']",Gamez.monster,https://hh.ru/vacancy/75728863,,,
76770646,"Преподаватель курса ""Level-дизайн""",Москва,От 3 до 6 лет,"Привет! Мы GeekBrains — российская образовательная платформа: обучаем программированию, дизайну, маркетингу, менеджменту и другим IT-профессиям. Делаем так, чтобы студенты получали качественные знания и трудоустраивались в отечественные и зарубежные компании. Помогаем делать первые шаги в профессии с помощью бесплатных программ, статей и мастер-классов. Работаем с 2010 года. Ищем эксперта-преподавателя на факультет гейм-дизайна на курс “Level-дизайн”. Обязанности:  проведение вебинаров продолжительностью полтора-два часа. Преподаватель хорошо знает материал, умеет объяснять сложное простыми словами, не читает по бумажке; ответ на вопросы студентов — как на вебинаре, так и в личном кабинете GeekBrains и мессенджерах; проведение командной работы со студентами; разбор домашних заданий. У преподавателя свой личный кабинет в GeekBrains: он видит все работы студентов и выставляет оценки; взаимодействие с деканом и методистом.  Требования:  опыт работы в качестве Level-дизайнера от 2-х лет; наличие актуального портфолио из игровых проектов; проектирование игровых уровней по заданным условиям игрового сценария, концепт-артам или техническим заданиям; опыт работы в Unreal Engine 4/5 (создание блокаутов и детализированных реалистичных игровых локаций/сцен);  Условия:  оплата за каждый проведённый вебинар: деньги приходят одной суммой в конце месяца; полностью удалённая работу, которую удобно совмещать с основной. Это может быть как парттайм на 4 часа в неделю, так и гибкий график или даже проектная работа; закрытое комьюнити GeekTalks, в котором вы сможете обмениваться опытом с коллегами, познакомиться с владельцами бизнеса и экспертами из крупных компаний, находить партнёров, просто общаться; возможность усилить личный бренд и гибкие навыки: сможете проводить онлайн-мероприятия, обучать junior-специалистов, выступать на конференциях и подкастах.Если вы полны творческих идей и готовы помочь команде GeekBrains делать сильные образовательные продукты, оставьте отклик на вакансию и сопроводительное письмо, мы свяжемся с вами в ближайшее время! ","['Unreal Engine 4/5', 'Unreal Engine 4', 'Гейм-дизайн', 'Game design']",GeekBrains,https://hh.ru/vacancy/76770646,,,
77015931,Unity Developer Senior (Flime by Gismart),Великобритания,От 3 до 6 лет,"We are FLIME - game studio, published by Gismart. We make Hypercasual, Puzzles & Instant games, our top titles include Body Race, Fighting Stance, Cross Logic, Foil Turning 3D, Pencil Rush 3D, VIP Guard, Сolor Galaxy and others with 500+ million downloads. Nowadays Flime team unites over 60 professionals, and we are always ready to welcome new members who will help us to achieve new goals. The company is based in the UK, Poland, Belarus. Responsibilities:  Implementation of the game mechanics; Close work with UX designers and artists; Integration of third-party plug-ins from Asset Store; Optimization of the application's performance.  Requirements:  Ability to solve non-trivial tasks; Knowledge of C# language;Knowledge of game and design patterns; Knowledge of Unity3D base classes, interfaces, and components; Experience with the GIT version control system.  Bonus points:  Experience in developing Puzzle games; Knowledge of algorithms; Good command of the English language, capable of reading documentation; Work with XCODE development environment and Android Studio; Experience with Dependency Injection; Experience working with shaders; Knowledge of vector mathematics.  Employee Benefits:   Transparent and consistent feedback to help you advance your career;   Competitive salary;   Medical Insurance, 100% sick leave coverage, 7 personal days;   Harmonic friday;   English classes;   Compensation hobbies/sport activities;   Compensation of therapy with psychologists;   Corporate library;   Relocation program.  ","['С#', 'Unity']",Gismart,https://hh.ru/vacancy/77015931,,,
